host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008432,2026/05/04 13:06:49.960, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:06:49.962, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.25, 30
nid008432,2026/05/04 13:06:49.964, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:06:49.965, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 94.97, 31
nid008432,2026/05/04 13:06:52.969, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.59, 32
nid008432,2026/05/04 13:06:52.971, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:06:52.973, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:06:52.974, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:06:56.020, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:06:56.023, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:06:56.024, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:06:56.026, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:06:59.004, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:06:59.006, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.25, 30
nid008432,2026/05/04 13:06:59.007, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:06:59.009, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 94.97, 31
nid008432,2026/05/04 13:07:02.005, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.83, 32
nid008432,2026/05/04 13:07:02.007, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:07:02.009, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:07:02.010, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:07:05.018, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:07:05.020, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:07:05.022, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:07:05.023, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 95.09, 31
nid008432,2026/05/04 13:07:08.019, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:07:08.021, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:07:08.022, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:07:08.024, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 94.97, 31
nid008432,2026/05/04 13:07:11.199, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:07:11.201, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.25, 30
nid008432,2026/05/04 13:07:11.204, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.29, 33
nid008432,2026/05/04 13:07:11.205, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 95.26, 31
nid008432,2026/05/04 13:07:14.345, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:07:14.347, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:07:14.348, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:07:14.350, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 94.97, 31
nid008432,2026/05/04 13:07:17.410, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.59, 32
nid008432,2026/05/04 13:07:17.412, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.36, 30
nid008432,2026/05/04 13:07:17.414, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:07:17.415, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 94.85, 31
nid008432,2026/05/04 13:07:20.463, 0, GPU-dade8858-c41e-35be-304b-0e5ffc4a87cf, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 96.72, 32
nid008432,2026/05/04 13:07:20.465, 1, GPU-e8ea414e-695e-61c2-c482-4102200d84d8, NVIDIA A100-SXM4-80GB, 10339, 81920, 0, 92.25, 30
nid008432,2026/05/04 13:07:20.466, 2, GPU-63c25348-5e4d-6c57-f4ac-f8dd48f53f62, NVIDIA A100-SXM4-80GB, 71905, 81920, 0, 96.41, 33
nid008432,2026/05/04 13:07:20.468, 3, GPU-f6560237-85c8-fc27-238b-cf500828daa5, NVIDIA A100-SXM4-80GB, 72385, 81920, 0, 95.09, 31
