=== Unique GPU telemetry hosts for concurrency=4 ===
    304 nid008500

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008500,2026/05/04 13:26:25.429, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 95.37, 32
nid008500,2026/05/04 13:26:25.431, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.19, 30
nid008500,2026/05/04 13:26:25.433, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 90.33, 32
nid008500,2026/05/04 13:26:25.434, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 92.60, 30
nid008500,2026/05/04 13:26:28.468, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 95.54, 32
nid008500,2026/05/04 13:26:28.471, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 91.94, 30
nid008500,2026/05/04 13:26:28.473, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 90.33, 32
nid008500,2026/05/04 13:26:28.474, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 92.99, 30
nid008500,2026/05/04 13:26:31.524, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 95.54, 32
nid008500,2026/05/04 13:26:31.526, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.19, 30
nid008500,2026/05/04 13:26:31.528, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 90.43, 32
nid008500,2026/05/04 13:26:31.529, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 92.88, 30
nid008500,2026/05/04 13:26:34.561, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:26:34.563, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.05, 30
nid008500,2026/05/04 13:26:34.564, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 90.33, 32
nid008500,2026/05/04 13:26:34.566, 3, GPU-47956048-6d57-037a-f4dc-6eb34cb58622, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 92.71, 30
nid008500,2026/05/04 13:26:37.607, 0, GPU-17cfd695-a47d-ca47-9ef1-2f722b71f029, NVIDIA A100-SXM4-80GB, 17825, 81920, 0, 95.26, 32
nid008500,2026/05/04 13:26:37.609, 1, GPU-cafd55ea-0cdc-8d5e-c962-2ec782252cf2, NVIDIA A100-SXM4-80GB, 72213, 81920, 0, 92.19, 30
nid008500,2026/05/04 13:26:37.610, 2, GPU-7a4a65ef-a5fd-82b4-4958-daf416434984, NVIDIA A100-SXM4-80GB, 72983, 81920, 0, 90.33, 32
