=== Unique GPU telemetry hosts for concurrency=16 ===
    200 nid001132
    200 nid001133

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid001132,2026/05/03 14:53:36.371, 0, GPU-1ee6ac61-44ab-b161-9de0-16bbb44716e7, NVIDIA A100-SXM4-40GB, 36925, 40960, 0, 105.53, 38
nid001132,2026/05/03 14:53:36.378, 1, GPU-afa7121e-c5d0-2eb5-4e9a-8b001ff7a220, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 101.03, 34
nid001132,2026/05/03 14:53:36.383, 2, GPU-4dea0284-873a-fa20-cc19-10ca82324573, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 103.60, 36
nid001132,2026/05/03 14:53:36.388, 3, GPU-cba17786-ea73-0caf-0d43-c838fbb66bcd, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 105.24, 33
nid001133,2026/05/03 14:53:37.286, 0, GPU-43cac420-244c-9975-fbd1-604f88cdd44c, NVIDIA A100-SXM4-40GB, 37591, 40960, 0, 103.96, 35
nid001133,2026/05/03 14:53:37.289, 1, GPU-73838956-9ad1-3484-0ba2-7d8b02c7a72a, NVIDIA A100-SXM4-40GB, 37581, 40960, 0, 101.92, 34
nid001133,2026/05/03 14:53:37.291, 2, GPU-aee03275-201a-58e4-7b5a-f08a6e4c1e50, NVIDIA A100-SXM4-40GB, 37581, 40960, 0, 102.43, 36
nid001133,2026/05/03 14:53:37.292, 3, GPU-e0003d1b-186b-2e66-9474-0b7af5c50af4, NVIDIA A100-SXM4-40GB, 37581, 40960, 0, 99.40, 35
nid001132,2026/05/03 14:53:40.235, 0, GPU-1ee6ac61-44ab-b161-9de0-16bbb44716e7, NVIDIA A100-SXM4-40GB, 36925, 40960, 0, 105.65, 38
nid001132,2026/05/03 14:53:40.243, 1, GPU-afa7121e-c5d0-2eb5-4e9a-8b001ff7a220, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 101.15, 34
nid001132,2026/05/03 14:53:40.245, 2, GPU-4dea0284-873a-fa20-cc19-10ca82324573, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 103.84, 35
nid001132,2026/05/03 14:53:40.246, 3, GPU-cba17786-ea73-0caf-0d43-c838fbb66bcd, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 105.12, 33
nid001133,2026/05/03 14:53:41.071, 0, GPU-43cac420-244c-9975-fbd1-604f88cdd44c, NVIDIA A100-SXM4-40GB, 37591, 40960, 0, 103.96, 35
nid001133,2026/05/03 14:53:41.074, 1, GPU-73838956-9ad1-3484-0ba2-7d8b02c7a72a, NVIDIA A100-SXM4-40GB, 37581, 40960, 0, 102.04, 34
nid001133,2026/05/03 14:53:41.076, 2, GPU-aee03275-201a-58e4-7b5a-f08a6e4c1e50, NVIDIA A100-SXM4-40GB, 37581, 40960, 0, 102.43, 36
nid001133,2026/05/03 14:53:41.077, 3, GPU-e0003d1b-186b-2e66-9474-0b7af5c50af4, NVIDIA A100-SXM4-40GB, 37581, 40960, 0, 99.51, 35
nid001132,2026/05/03 14:53:43.944, 0, GPU-1ee6ac61-44ab-b161-9de0-16bbb44716e7, NVIDIA A100-SXM4-40GB, 36925, 40960, 0, 105.53, 38
nid001132,2026/05/03 14:53:43.947, 1, GPU-afa7121e-c5d0-2eb5-4e9a-8b001ff7a220, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 101.15, 34
nid001132,2026/05/03 14:53:43.948, 2, GPU-4dea0284-873a-fa20-cc19-10ca82324573, NVIDIA A100-SXM4-40GB, 36857, 40960, 0, 103.84, 35
